kind,database_group,demand,efficiency,climate_policy,source_file,public_file,source_scenario,public_scenario,source_sha256,public_sha256
database-archive,efficiency-high,low,high,net-zero-2050,EHigh/configuration_AI_DLow_EHigh_nz2050co2_brp7d8cal.xml,database-archive/efficiency-high/ai-data-center_demand-low_efficiency-high_net-zero-2050.xml,AI_DLow_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-high_net-zero-2050,04e51363c725ea278e3699f780ef8517f7ab82216e5885b822218177d113b113,75b127277373528c8d6cfeb51d4005979e593a3457008fcc12bd35f6d6e6fde0
database-archive,efficiency-high,low,high,reference,EHigh/configuration_AI_DLow_EHigh_ref_brp7d8cal.xml,database-archive/efficiency-high/ai-data-center_demand-low_efficiency-high_reference.xml,AI_DLow_EHigh_ref_brp7d8cal,ai-data-center_demand-low_efficiency-high_reference,a8b56e9f31b0a32838dc0a8aa75171789f04099f90820f1c83f7d96a9e955939,653bd259b6d470fbbc95d1485ae6d98eb2c8be06464604ccc4bee4721516a455
database-archive,efficiency-high,medium,high,net-zero-2050,EHigh/configuration_AI_DMedium_EHigh_nz2050co2_brp7d8cal.xml,database-archive/efficiency-high/ai-data-center_demand-medium_efficiency-high_net-zero-2050.xml,AI_DMedium_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-high_net-zero-2050,ffe79e223215a70d0e5a8af2fed7d7720c5a2f1c1dfba714603fcc05be135e13,5720a45bbb2698ed5a2d00cb9815e88f641edfbe0a2f52c5d6abdadee4b47f67
database-archive,efficiency-high,medium,high,reference,EHigh/configuration_AI_DMedium_EHigh_ref_brp7d8cal.xml,database-archive/efficiency-high/ai-data-center_demand-medium_efficiency-high_reference.xml,AI_DMedium_EHigh_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-high_reference,635bab8200004517ed843d9537fb5b85670f4e3aa63f3ccbcbaa7e3bf8262839,3d6fdb1c7f6592312ad017f1dc64cf62cce9fd680a4ab5971298ce3dcc7fe826
database-archive,efficiency-low,high,low,net-zero-2050,ELow/configuration_AI_DHigh_ELow_nz2050co2_brp7d8cal.xml,database-archive/efficiency-low/ai-data-center_demand-high_efficiency-low_net-zero-2050.xml,AI_DHigh_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-high_efficiency-low_net-zero-2050,98fdee1b2ea5078423210ea9b7e4a9df8a5c68652c6682b6653dc3a2de0e2186,58e034de97ecc781c985837792992fe32036773ae853a54e9d4d5cd7931c2e4e
database-archive,efficiency-low,high,low,reference,ELow/configuration_AI_DHigh_ELow_ref_brp7d8cal.xml,database-archive/efficiency-low/ai-data-center_demand-high_efficiency-low_reference.xml,AI_DHigh_ELow_ref_brp7d8cal,ai-data-center_demand-high_efficiency-low_reference,ae2e3807890a59ca57fefb536ade7efa5936c82c57e3f09e9e4fcc029e88681d,e7a524f4a80a7fe0eb0500c6faeee3ef367ceee42b236dc233b2bf44a4019e32
database-archive,efficiency-low,low,low,net-zero-2050,ELow/configuration_AI_DLow_ELow_nz2050co2_brp7d8cal.xml,database-archive/efficiency-low/ai-data-center_demand-low_efficiency-low_net-zero-2050.xml,AI_DLow_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-low_net-zero-2050,d5ef5c99b008f747e98d2c95007aab62f43500637cd4debb802596d11cd22d7e,184395ab9f0dee7e85cc88db531157dc456e0b73ef42014ed46244bb12fb3f12
database-archive,efficiency-low,low,low,reference,ELow/configuration_AI_DLow_ELow_ref_brp7d8cal.xml,database-archive/efficiency-low/ai-data-center_demand-low_efficiency-low_reference.xml,AI_DLow_ELow_ref_brp7d8cal,ai-data-center_demand-low_efficiency-low_reference,325556d7507d6ab0a1cead9b7ad53589839417ba34cae989dfc059ae23564868,20bc19137dd02bceee04c24a6b44364143bfe9daf104b20d60c3adf210f3ff8a
database-archive,efficiency-low,medium,low,net-zero-2050,ELow/configuration_AI_DMedium_ELow_nz2050co2_brp7d8cal.xml,database-archive/efficiency-low/ai-data-center_demand-medium_efficiency-low_net-zero-2050.xml,AI_DMedium_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-low_net-zero-2050,92f4bbd71a1ae8254089522e88f06de4a34ea23d779fc1ea4c50b69197f2425a,5d0f7b6c9a44506fd3474cca421ee6ff1d95c8dca6573f25cc2f8b328622ffca
database-archive,efficiency-low,medium,low,reference,ELow/configuration_AI_DMedium_ELow_ref_brp7d8cal.xml,database-archive/efficiency-low/ai-data-center_demand-medium_efficiency-low_reference.xml,AI_DMedium_ELow_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-low_reference,1dfb50de4e76d58ce16a2415a22244d9d4d1a1ff041aea4698d9fd2708c9cc03,686d7adff3fb023777df512f54cc7ce4eff997b185098298879ed57a02bb8fc2
database-archive,efficiency-medium,high,medium,net-zero-2050,EMedium/configuration_AI_DHigh_EMedium_nz2050co2_brp7d8cal.xml,database-archive/efficiency-medium/ai-data-center_demand-high_efficiency-medium_net-zero-2050.xml,AI_DHigh_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-high_efficiency-medium_net-zero-2050,f37a83ab46638b31998ea86e3dfef3ebe728632412cc1b019ccca5fdad9b4856,fb72aaa92fe9d2d2ff012da65e6a3740745e35cc9d46c58a967497d8982b58cf
database-archive,efficiency-medium,high,medium,reference,EMedium/configuration_AI_DHigh_EMedium_ref_brp7d8cal.xml,database-archive/efficiency-medium/ai-data-center_demand-high_efficiency-medium_reference.xml,AI_DHigh_EMedium_ref_brp7d8cal,ai-data-center_demand-high_efficiency-medium_reference,d72cdf40c681959b4bf13b994129ee8d9dd5175716010e14f806cc6ecb503dd7,a1092f12005c438bfeeceff84c4d3f3bfd6cea41cd8267462ff532ab78f1654e
database-archive,efficiency-medium,low,medium,net-zero-2050,EMedium/configuration_AI_DLow_EMedium_nz2050co2_brp7d8cal.xml,database-archive/efficiency-medium/ai-data-center_demand-low_efficiency-medium_net-zero-2050.xml,AI_DLow_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-medium_net-zero-2050,32348b32e74df873c1cefb6316f05a2475976f5764ffe5040977c8fd3d17857c,cd3b93e87faa9fcfe0cc6be0f37f86de8bb11237d584e27d4951010af8fd4bd0
database-archive,efficiency-medium,low,medium,reference,EMedium/configuration_AI_DLow_EMedium_ref_brp7d8cal.xml,database-archive/efficiency-medium/ai-data-center_demand-low_efficiency-medium_reference.xml,AI_DLow_EMedium_ref_brp7d8cal,ai-data-center_demand-low_efficiency-medium_reference,4ef473db88aaf014fbeccb114f661336d3ae34ad415d46c266c74452ab90e048,708363fb47082a4d451982a4394770b435ea6150b0ce89205750b29130e36947
database-archive,efficiency-medium,medium,medium,net-zero-2050,EMedium/configuration_AI_DMedium_EMedium_nz2050co2_brp7d8cal.xml,database-archive/efficiency-medium/ai-data-center_demand-medium_efficiency-medium_net-zero-2050.xml,AI_DMedium_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-medium_net-zero-2050,f2c0a1e451528ebd88f1de46b7fedfbaf33cfac74c40c868245542ed961e8f16,d2bfedf06171a930dc6070226d9a88f161d21d31577a59ff5e9dfceeeff39709
database-archive,efficiency-medium,medium,medium,reference,EMedium/configuration_AI_DMedium_EMedium_ref_brp7d8cal.xml,database-archive/efficiency-medium/ai-data-center_demand-medium_efficiency-medium_reference.xml,AI_DMedium_EMedium_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-medium_reference,6d1e9732881111daa3de2cef9ff7e1e339396f184f96be7ad9c01690d88f7460,e9fb22de3262d80e755ddf1f17cd5ebc3e10d61871804a246f4d61435910776c
